"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Chain Mapping","Create chains from array of phrases","0","0","1","0","0"
"","Command Mapping","Tempo Hex Value","0","0","4","0","0"
"","Chain Mapping","Chains use hexadecimal keys/index in line with LSDJ","0","0","1","0","0"
"","MIDI Parsing","Create a map of ticks -> notes played at tick","0","0","1","0","0"
"","Phrase Mapping","Create phrase array based on number of 16th notes per bar as defined by time signature","0","0","3","0","0"
"","Table Mapping","Table Step Note Transposition","0","0","2","0","0"
"","Command Mapping","Tempo Command","0","0","3","0","0"
"","Table Mapping","Creates an array of tables in the track and updates phrases to call the appropriate table for tuplet notes in phrase","0","0","1","0","0"
"","Chain Mapping","Create a map of unique chains","0","0","1","0","0"
"","Phrase Mapping","Phrases use hexademical key/index in line with LSDJ","0","0","1","0","0"
"","Table Mapping","Table Steps","0","0","3","0","0"
"","Table Mapping","Map Table to Phrases","0","0","2","0","0"
"","Table Mapping","Phrases are updated to reference tables using hexadecimal key/index inline with LSDJ","0","0","3","0","0"
"","Command Mapping","Note Commands","0","0","2","0","0"
"","Phrase Mapping","Phrase Deduplication","0","0","2","0","0"
"","Track Structure","Creates a new LSDJ Track object with initial phrases","0","0","1","0","0"
"","Table Mapping","LSDJ Table","0","0","1","0","0"
"","Phrase Mapping","Create hash for a phrase based on the notes, triplets and tables in the phrase so can identify duplicate phrases","0","0","1","0","0"
"","Table Mapping","Tables use hexadecimal key/index inline with LSDJ","0","0","1","0","0"
"","Table Mapping","Create a hash representation of a tuplet so can spot duplicate tuplets","0","0","1","0","0"
"","Phrase Mapping","Chains reference phrases using hexademical keys/index in line with LSDJ","0","0","1","0","0"
"","Phrase Mapping","Removes duplicate phrases from phrase list and updates chains to point to single instance of duplicated chain","0","0","1","0","0"
"","Chain Mapping","Create a map using the hash as the key so only have unique chains","0","0","1","0","0"
"","Table Mapping","Calculate the delta between notes in a tuplet so can convert into transpose command in table","0","0","2","0","0"
"","MIDI Parsing","Create a list of sections in the track based on the time signature changes so can create phrase array","0","0","1","0","0"
"","Chain Mapping","Create a hash representing the chain's phrases to help spot duplicates","0","0","1","0","0"
